count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
999994,6,London,134,Croydon,U,Minor,,,531750,165000,51.36878798,-0.10873065,,
999993,6,London,134,Croydon,U,Minor,,,531050,157500,51.30154824,-0.12153778,,
999990,6,London,109,Westminster,B310,Minor,,,528194,179375,51.49878793,-0.15458702,,
999985,6,London,177,Sutton,B272,Minor,,,530482,162645,51.34791638,-0.12779875,,
999983,6,London,177,Sutton,B271,Minor,,,529600,163900,51.35939663,-0.13999945,,
999978,6,London,175,"Richmond upon Thames",B358,Minor,,,516950,170000,51.41696455,-0.31959031,,
999977,6,London,175,"Richmond upon Thames",B361,Minor,,,513850,174350,51.45669225,-0.36275279,,
999976,6,London,167,Newham,B109,Minor,,,541350,184700,51.54350347,0.03695413,,
999969,6,London,66,Hillingdon,B466,Minor,,,509100,187200,51.57312316,-0.42711808,,
999967,6,London,165,Haringey,B519,Minor,,,528280,187900,51.57538027,-0.15024528,,
999965,6,London,146,"Hammersmith and Fulham",B317,Minor,,,524515,178602,51.49266251,-0.20783210,,
999964,6,London,121,Enfield,B1452,Minor,,,530005,192635,51.61753652,-0.12361392,,
999962,6,London,147,Ealing,B455,Minor,,,511817,183026,51.53507623,-0.38925483,,
999961,6,London,134,Croydon,B243,Minor,,,532900,164350,51.36267893,-0.09246285,,
999959,6,London,134,Croydon,B273,Minor,,,532100,169000,51.40465358,-0.10221905,,
999957,6,London,118,Brent,B413,Minor,,,525100,183040,51.53241779,-0.19783669,,
998097,6,London,108,Wandsworth,C,Minor,,,525020,173960,51.45083318,-0.20220247,,
998071,6,London,108,Wandsworth,U,Minor,,,523303,174410,51.45525357,-0.22674266,,
998069,6,London,96,Islington,U,Minor,,,532700,184370,51.54263628,-0.08783097,,
998065,6,London,108,Wandsworth,B237,Minor,,,528100,173968,51.45021733,-0.15789901,,
998047,6,London,165,Haringey,U,Minor,,,530995,190716,51.60006232,-0.11003914,,
998036,6,London,134,Croydon,U,Minor,,,533036,166822,51.38486214,-0.08958600,,
998028,6,London,178,"Kingston upon Thames",U,Minor,,,521050,165350,51.37431301,-0.26224331,,
998025,6,London,178,"Kingston upon Thames",U,Minor,,,518487,163509,51.35830675,-0.29966168,,
998017,6,London,104,Lewisham,U,Minor,,,537819,172741,51.43691142,-0.01859662,,
995157,6,London,167,Newham,U,Minor,,,543345,183997,51.53668390,0.06541715,,
995150,6,London,147,Ealing,U,Minor,,,519160,179507,51.50194898,-0.28462416,,
990714,6,London,106,Bexley,U,Minor,,,547280,172681,51.43399390,0.11739658,,
990708,6,London,106,Bexley,U,Minor,,,545053,172751,51.43519692,0.08541034,,
990705,6,London,124,Redbridge,U,Minor,,,544000,186976,51.56328510,0.07607294,,
990704,6,London,124,Redbridge,U,Minor,,,543784,185366,51.54887352,0.07230123,,
990692,6,London,176,Bromley,U,Minor,,,538237,169830,51.41065093,-0.01372137,,
990689,6,London,104,Lewisham,U,Minor,,,535776,177500,51.48017010,-0.04614514,,
990684,6,London,134,Croydon,U,Minor,,,533172,168686,51.40158133,-0.08693411,,
990681,6,London,107,Lambeth,U,Minor,,,532499,171359,51.42576004,-0.09560528,,
990678,6,London,107,Lambeth,U,Minor,,,531267,178817,51.49306883,-0.11054933,,
990677,6,London,121,Enfield,C,Minor,,,530137,194663,51.63573053,-0.12095557,,
990672,6,London,109,Westminster,U,Minor,,,528883,181838,51.52076571,-0.14376720,,
990670,6,London,109,Westminster,U,Minor,,,528500,178561,51.49140327,-0.15047727,,
990664,6,London,121,Enfield,U,Minor,,,526961,198242,51.66861875,-0.16552409,,
990660,6,London,177,Sutton,U,Minor,,,526855,166636,51.38460439,-0.17842742,,
990653,6,London,110,"Kensington and Chelsea",U,Minor,,,524238,179657,51.50220476,-0.21144891,,
990643,6,London,57,Barnet,U,Minor,,,520797,192132,51.61506548,-0.25671799,,
990642,6,London,57,Barnet,U,Minor,,,527480,192880,51.62031522,-0.15997533,,
990636,6,London,147,Ealing,U,Minor,,,519215,180215,51.50830049,-0.28359307,,
990627,6,London,147,Ealing,U,Minor,,,513039,181554,51.52160310,-0.37211600,,
990619,6,London,111,Hounslow,U,Minor,,,510629,172824,51.44361439,-0.40956966,,
990563,6,London,111,Hounslow,U,Minor,,,519308,178448,51.49240011,-0.28285064,,
990541,6,London,125,"Waltham Forest",B160,Minor,,,538280,190230,51.59395542,-0.00511369,,
990540,6,London,111,Hounslow,B363,Minor,,,514270,176580,51.47665054,-0.35599025,,
990473,6,London,118,Brent,U,Minor,,,518100,185378,51.55493658,-0.29792197,,
990462,6,London,93,"Tower Hamlets",C,Minor,,,537650,182000,51.52015495,-0.01742160,,
990461,6,London,201,Havering,C,Minor,,,554000,188590,51.57514671,0.22093544,,
990460,6,London,168,"Barking and Dagenham",C,Minor,,,547720,187000,51.56253951,0.12971154,,
990459,6,London,174,"City of London",C,Minor,,,532000,181100,51.51341454,-0.09914346,,
990442,6,London,105,Greenwich,C,Minor,,,544050,178500,51.48711104,0.07333096,,
990441,6,London,105,Greenwich,C,Minor,,,544000,175800,51.46286259,0.07151183,,
990440,6,London,175,"Richmond upon Thames",C,Minor,,,514800,173100,51.44526585,-0.34949075,,
990403,6,London,185,Harrow,U,Minor,,,516454,190301,51.59952378,-0.32002216,,
990394,6,London,146,"Hammersmith and Fulham",U,Minor,,,521740,179720,51.50331400,-0.24739852,,
990359,6,London,121,Enfield,C,Minor,,,533300,197230,51.65805806,-0.07430134,,
990358,6,London,185,Harrow,C,Minor,,,516170,191610,51.61134694,-0.32368746,,
990357,6,London,111,Hounslow,U,Minor,,,512740,177060,51.48127139,-0.37785849,,
990356,6,London,147,Ealing,U,Minor,,,515450,181030,51.51640641,-0.33755234,,
990355,6,London,108,Wandsworth,C,Minor,,,526080,174220,51.45293501,-0.18686340,,
990354,6,London,103,Southwark,C,Minor,,,533060,177540,51.48117439,-0.08521820,,
990353,6,London,93,"Tower Hamlets",U,Minor,,,535080,181860,51.51951677,-0.05449384,,
990352,6,London,122,Hackney,U,Minor,,,534210,186840,51.56447560,-0.06512804,,
990351,6,London,96,Islington,C,Minor,,,531360,185370,51.55193594,-0.10676964,,
990350,6,London,175,"Richmond upon Thames",U,Minor,,,520730,175330,51.46407596,-0.26344249,,
990349,6,London,175,"Richmond upon Thames",C,Minor,,,518360,174920,51.46089117,-0.29768019,,
990348,6,London,175,"Richmond upon Thames",U,Minor,,,516020,171710,51.43252453,-0.33239872,,
990347,6,London,57,Barnet,U,Minor,,,524526,188815,51.58444424,-0.20406431,,
990346,6,London,168,"Barking and Dagenham",U,Minor,,,546350,184090,51.53674917,0.10875193,,
990345,6,London,125,"Waltham Forest",C,Minor,,,537670,186640,51.56184515,-0.01532022,,
990344,6,London,125,"Waltham Forest",U,Minor,,,536700,189400,51.58688230,-0.02823177,,
990343,6,London,125,"Waltham Forest",U,Minor,,,537090,193050,51.61958633,-0.02118050,,
990342,6,London,106,Bexley,C,Minor,,,548080,177440,51.47654668,0.13088758,,
990341,6,London,176,Bromley,C,Minor,,,543390,170600,51.41629152,0.06063262,,
990340,6,London,176,Bromley,U,Minor,,,544440,165370,51.36902985,0.07359539,,
990339,6,London,134,Croydon,C,Minor,,,537970,163240,51.35149639,-0.02011531,,
990338,6,London,134,Croydon,U,Minor,,,534130,162090,51.34208033,-0.07565744,,
990337,6,London,204,Merton,C,Minor,,,525180,170850,51.42284791,-0.20099954,,
990336,6,London,178,"Kingston upon Thames",U,Minor,,,518310,170090,51.41749153,-0.30001203,,
990334,6,London,177,Sutton,U,Minor,,,525950,165060,51.37064197,-0.19198383,,
990333,6,London,177,Sutton,C,Minor,,,527190,163390,51.35535738,-0.17477637,,
990332,6,London,177,Sutton,C,Minor,,,524000,164640,51.36729604,-0.22012937,,
990331,6,London,66,Hillingdon,C,Minor,,,510600,186310,51.56483199,-0.40576237,,
990330,6,London,66,Hillingdon,U,Minor,,,506870,184210,51.54667535,-0.46019149,,
990329,6,London,66,Hillingdon,C,Minor,,,510460,179630,51.50481996,-0.40987482,,
990328,6,London,66,Hillingdon,U,Minor,,,506150,180500,51.51346483,-0.47168782,,
990164,6,London,93,"Tower Hamlets",U,Minor,,,538230,179692,51.49927371,-0.00997137,,
990154,6,London,93,"Tower Hamlets",B135,Minor,,,534240,182360,51.52420999,-0.06640295,,
990153,6,London,93,"Tower Hamlets",B126,Minor,,,534860,180930,51.51121206,-0.05801822,,
990152,6,London,122,Hackney,B108,Minor,,,533970,183750,51.53676502,-0.06976418,,
990151,6,London,96,Islington,B515,Minor,,,531440,184050,51.54005518,-0.10610911,,
990150,6,London,103,Southwark,B214,Minor,,,532590,177720,51.48290223,-0.09191503,,
990149,6,London,107,Lambeth,B221,Minor,,,530100,174770,51.45696915,-0.12883862,,
990148,6,London,104,Lewisham,B218,Minor,,,536580,175520,51.46218401,-0.03533897,,
990147,6,London,167,Newham,B116,Minor,,,540520,182730,51.52600854,0.02420758,,
990146,6,London,204,Merton,B281,Minor,,,523190,170110,51.41663290,-0.22986268,,
990145,6,London,105,Greenwich,B210,Minor,,,541590,177870,51.48207072,0.03767199,,
990144,6,London,201,Havering,B175,Minor,,,550680,190380,51.59212602,0.17383052,,
990143,6,London,176,Bromley,B228,Minor,,,539800,168150,51.39517146,0.00807637,,
990142,6,London,176,Bromley,B258,Minor,,,547480,167980,51.39170136,0.11831806,,
990141,6,London,110,"Kensington and Chelsea",B304,Minor,,,526978,178640,51.49245676,-0.17235971,,
990140,6,London,109,Westminster,B507,Minor,,,527207,182194,51.52434461,-0.16778206,,
990139,6,London,145,Camden,B511,Minor,,,526610,184830,51.54816797,-0.17543568,,
990138,6,London,57,Barnet,B552,Minor,,,523990,190330,51.59817753,-0.21126180,,
990137,6,London,66,Hillingdon,B465,Minor,,,508060,181570,51.52272042,-0.44384632,,
990044,6,London,201,Havering,U,Minor,,,551815,188247,51.57265708,0.18928117,,
990029,6,London,106,Bexley,B252,Minor,,,551450,178020,51.48086661,0.17962505,,
990028,6,London,66,Hillingdon,U,Minor,,,507500,182400,51.53028733,-0.45166180,,
990027,6,London,121,Enfield,U,Minor,,,537040,198465,51.66825700,-0.01978324,,
980006,6,London,106,Bexley,U,Minor,,,548360,176690,51.46973444,0.13460180,,
967554,6,London,176,Bromley,U,Minor,,,538180,169660,51.40913715,-0.01460660,,
965631,6,London,57,Barnet,U,Minor,,,523100,195000,51.64034162,-0.22246554,,
961008,6,London,66,Hillingdon,U,Minor,,,509050,192080,51.61699390,-0.42632417,,
956887,6,London,124,Redbridge,U,Minor,,,548308,192000,51.60731063,0.14029845,,
956871,6,London,124,Redbridge,U,Minor,,,543790,185850,51.55322097,0.07258537,,
953313,6,London,201,Havering,U,Minor,,,554573,191957,51.60524087,0.23067915,,
953312,6,London,201,Havering,U,Minor,,,554202,190745,51.59445325,0.22479381,,
953311,6,London,201,Havering,C,Minor,,,554300,182880,51.52376263,0.22275880,,
953308,6,London,201,Havering,C,Minor,,,553392,190678,51.59407222,0.21308012,,
953293,6,London,168,"Barking and Dagenham",U,Minor,,,548586,184348,51.53848373,0.14107644,,
953289,6,London,176,Bromley,U,Minor,,,547727,168208,51.39368585,0.12196034,,
953284,6,London,105,Greenwich,U,Minor,,,544503,179130,51.49265647,0.08010847,,
953280,6,London,176,Bromley,U,Minor,,,544675,166695,51.38087619,0.07750794,,
953275,6,London,167,Newham,U,Minor,,,542498,184354,51.54010602,0.05335758,,
953271,6,London,176,Bromley,U,Minor,,,542210,158973,51.31210870,0.03902906,,
953270,6,London,105,Greenwich,U,Minor,,,541226,174497,51.45185235,0.03108704,,
953266,6,London,124,Redbridge,U,Minor,,,540510,188880,51.58127345,0.02651832,,
953264,6,London,104,Lewisham,U,Minor,,,540650,172735,51.43616236,0.02210343,,
953262,6,London,124,Redbridge,U,Minor,,,539900,190280,51.59400510,0.01827786,,
953260,6,London,104,Lewisham,C,Minor,,,539262,172240,51.43205684,0.00195334,,
953255,6,London,104,Lewisham,U,Minor,,,538677,173788,51.44611068,-0.00585084,,
953236,6,London,103,Southwark,U,Minor,,,534733,178577,51.49009755,-0.06074503,,
953223,6,London,122,Hackney,U,Minor,,,534150,184360,51.54220395,-0.06693820,,
953219,6,London,121,Enfield,U,Minor,,,531500,193830,51.62792825,-0.10158477,,
953217,6,London,107,Lambeth,U,Minor,,,531202,177190,51.47846271,-0.11208909,,
953214,6,London,134,Croydon,U,Minor,,,531255,160470,51.32819213,-0.11750662,,
953208,6,London,165,Haringey,U,Minor,,,530166,189479,51.58913805,-0.12246009,,
953198,6,London,57,Barnet,U,Minor,,,528724,193939,51.62954910,-0.14162732,,
953195,6,London,165,Haringey,U,Minor,,,528615,187882,51.57514225,-0.14542036,,
953192,6,London,108,Wandsworth,U,Minor,,,528346,175841,51.46699406,-0.15368166,,
953184,6,London,204,Merton,U,Minor,,,527645,168589,51.40197910,-0.16637939,,
953171,6,London,118,Brent,U,Minor,,,524175,184605,51.54668647,-0.21061376,,
953170,6,London,145,Camden,U,Minor,,,524940,184500,51.54557415,-0.19962446,,
953155,6,London,118,Brent,U,Minor,,,521168,184552,51.54686319,-0.25397528,,
953146,6,London,147,Ealing,U,Minor,,,520329,179599,51.50252840,-0.26775897,,
953145,6,London,111,Hounslow,U,Minor,,,520156,178416,51.49193311,-0.27065269,,
953132,6,London,118,Brent,U,Minor,,,518733,188768,51.58527092,-0.28765158,,
953110,6,London,185,Harrow,U,Minor,,,512887,187437,51.57450848,-0.37242018,,
953102,6,London,147,Ealing,U,Minor,,,511855,179384,51.50233485,-0.38986195,,
953083,6,London,111,Hounslow,C,Minor,,,508000,173862,51.45345106,-0.44706627,,
951769,6,London,108,Wandsworth,U,Minor,,,522287,173874,51.45065500,-0.24154326,,
