year,region_id,region_name,ons_code,road_category_id,road_category_name,road_category_description,total_link_length_km,total_link_length_miles,all_motor_vehicles
2022,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1511359018
2022,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2022,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,10961157.11
2022,6,London,E12000007,4,PA,"Class A Principal road",1749.4,1087.03,9839078981
2022,6,London,E12000007,5,M,"Minor road",13001.39,8078.69,7727947937
2021,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1329645613
2021,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2021,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,8887161.56
2021,6,London,E12000007,4,PA,"Class A Principal road",1750.1,1087.46,9445839205
2021,6,London,E12000007,5,M,"Minor road",12996.32,8075.54,7668919304
2020,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1223541041
2020,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2020,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,7637253.774
2020,6,London,E12000007,4,PA,"Class A Principal road",1749.9,1087.34,8834392025
2020,6,London,E12000007,5,M,"Minor road",12994.524,8074.42,6548067923
2019,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1608192908
2019,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2019,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,13129154.66
2019,6,London,E12000007,4,PA,"Class A Principal road",1747.5,1085.85,10631567609
2019,6,London,E12000007,5,M,"Minor road",13005.449,8081.21,8011480018
2018,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1593886028
2018,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2018,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,13084160.8
2018,6,London,E12000007,4,PA,"Class A Principal road",1745.5,1084.6,10699544684
2018,6,London,E12000007,5,M,"Minor road",13000.3285,8078.03,7686346834
2017,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1558638816
2017,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2017,6,London,E12000007,3,TA,"Class A Trunk road",1.3,0.81,10437768.05
2017,6,London,E12000007,4,PA,"Class A Principal road",1716.5,1066.58,10385171543
2017,6,London,E12000007,5,M,"Minor road",13064.12,8117.67,8101110982
2016,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1536568677
2016,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2016,6,London,E12000007,3,TA,"Class A Trunk road",1.3,0.81,10837275.26
2016,6,London,E12000007,4,PA,"Class A Principal road",1719.5,1068.45,10247271502
2016,6,London,E12000007,5,M,"Minor road",13052.63,8110.53,8288348825
2015,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1498800479
2015,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2015,6,London,E12000007,3,TA,"Class A Trunk road",0,0,0
2015,6,London,E12000007,4,PA,"Class A Principal road",1719,1068.14,10222421722
2015,6,London,E12000007,5,M,"Minor road",13017.05,8088.42,7928960103
2014,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1468335062
2014,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2014,6,London,E12000007,3,TA,"Class A Trunk road",0,0,0
2014,6,London,E12000007,4,PA,"Class A Principal road",1717.66,1067.3,10284919250
2014,6,London,E12000007,5,M,"Minor road",13065.08,8118.26,7927164159
2013,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1397038146
2013,6,London,E12000007,4,PA,"Class A Principal road",1713.16,1064.51,10184357381
2013,6,London,E12000007,5,M,"Minor road",13056.37798,8112.86,7733067322
2012,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1394635064
2012,6,London,E12000007,4,PA,"Class A Principal road",1713.26,1064.57,10128619661
2012,6,London,E12000007,5,M,"Minor road",13041.17333,8103.41,7817291535
2011,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1323778594
2011,6,London,E12000007,4,PA,"Class A Principal road",1712.9,1064.35,10366267488
2011,6,London,E12000007,5,M,"Minor road",13027.1,8094.66,7805209554
2010,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1371797042
2010,6,London,E12000007,4,PA,"Class A Principal road",1719.8,1068.63,10709247339
2010,6,London,E12000007,5,M,"Minor road",13039.2,8102.18,7770950614
2009,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1404843982
2009,6,London,E12000007,4,PA,"Class A Principal road",1720.9,1069.32,10684435025
2009,6,London,E12000007,5,M,"Minor road",13019.6,8090,8022355299
2008,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1389720542
2008,6,London,E12000007,4,PA,"Class A Principal road",1720.1,1068.82,10716360553
2008,6,London,E12000007,5,M,"Minor road",13015.6,8087.52,8127364674
2007,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1328312471
2007,6,London,E12000007,4,PA,"Class A Principal road",1720.1,1068.82,11101629664
2007,6,London,E12000007,5,M,"Minor road",13003.33,8079.89,8211423200
2006,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1357188618
2006,6,London,E12000007,4,PA,"Class A Principal road",1719.7,1068.57,11366639908
2006,6,London,E12000007,5,M,"Minor road",12965.8,8056.57,7957867120
2005,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1262625426
2005,6,London,E12000007,4,PA,"Class A Principal road",1718.96,1068.11,11172760939
2005,6,London,E12000007,5,M,"Minor road",12962.2,8054.34,7987276045
2004,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1292490353
2004,6,London,E12000007,4,PA,"Class A Principal road",1719.61,1068.52,11159760908
2004,6,London,E12000007,5,M,"Minor road",12901.4,8016.56,7911262525
2003,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1314554935
2003,6,London,E12000007,4,PA,"Class A Principal road",1719.11,1068.21,11223637337
2003,6,London,E12000007,5,M,"Minor road",12933.709,8036.63,7909921086
2002,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1374588457
2002,6,London,E12000007,4,PA,"Class A Principal road",1723.02,1070.63,11239577399
2002,6,London,E12000007,5,M,"Minor road",12895.7,8013.02,7801339711
2001,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1339946984
2001,6,London,E12000007,4,PA,"Class A Principal road",1720.8,1069.26,11465994660
2001,6,London,E12000007,5,M,"Minor road",12859.4,7990.46,7523947606
2000,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",65.6,40.76,1475750000
2000,6,London,E12000007,3,TA,"Class A Trunk road",319.2,198.34,4150315791
2000,6,London,E12000007,4,PA,"Class A Principal road",1396,867.43,7234092467
2000,6,London,E12000007,5,M,"Minor road",12823,7967.84,7428197699
1999,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",71.3,44.3,1556558485
1999,6,London,E12000007,3,TA,"Class A Trunk road",319.7,198.65,4055850600
1999,6,London,E12000007,4,PA,"Class A Principal road",1390.7,864.14,7287205031
1999,6,London,E12000007,5,M,"Minor road",12787.1,7945.54,7415384860
1998,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",70.713,43.94,1557099926
1998,6,London,E12000007,3,TA,"Class A Trunk road",322.229,200.22,3900861197
1998,6,London,E12000007,4,PA,"Class A Principal road",1378.611,856.63,7133584625
1998,6,London,E12000007,5,M,"Minor road",12751.1,7923.17,7228122943
1997,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",69.806,43.38,1525809465
1997,6,London,E12000007,3,TA,"Class A Trunk road",325.64,202.34,3889149908
