Area code,Area name,Area type,Population 2011,Population 2021,Percentage change
K04000001,England and Wales,National,"56,075,912","59,597,542",6.3
E92000001,England,Country,"53,012,456","56,490,048",6.6
W92000004,Wales,Country,"3,063,456","3,107,494",1.4
E12000001,North East,Region,"2,596,886","2,647,013",1.9
E12000002,North West,Region,"7,052,177","7,417,397",5.2
E12000003,Yorkshire and The Humber,Region,"5,283,733","5,480,777",3.7
E12000004,East Midlands,Region,"4,533,222","4,880,054",7.7
E12000005,West Midlands,Region,"5,601,847","5,950,757",6.2
E12000006,East of England,Region,"5,846,965","6,335,074",8.3
E12000007,London,Region,"8,173,941","8,799,728",7.7
E12000008,South East,Region,"8,634,750","9,278,065",7.5
E12000009,South West,Region,"5,288,935","5,701,186",7.8
E06000001,Hartlepool,Local Authority,"92,028","92,338",0.3
E06000002,Middlesbrough,Local Authority,"138,412","143,924",4.0
E06000003,Redcar and Cleveland,Local Authority,"135,177","136,531",1.0
E06000004,Stockton-on-Tees,Local Authority,"191,610","196,595",2.6
E06000005,Darlington,Local Authority,"105,564","107,799",2.1
E06000006,Halton,Local Authority,"125,746","128,478",2.2
E06000007,Warrington,Local Authority,"202,228","210,974",4.3
E06000008,Blackburn with Darwen,Local Authority,"147,489","154,739",4.9
E06000009,Blackpool,Local Authority,"142,065","141,036",-0.7
E06000010,"Kingston upon Hull, City of",Local Authority,"256,406","267,014",4.1
E06000011,East Riding of Yorkshire,Local Authority,"334,179","342,215",2.4
E06000012,North East Lincolnshire,Local Authority,"159,616","156,966",-1.7
E06000013,North Lincolnshire,Local Authority,"167,446","169,680",1.3
E06000014,York,Local Authority,"198,051","202,821",2.4
E06000015,Derby,Local Authority,"248,752","261,364",5.1
E06000016,Leicester,Local Authority,"329,839","368,572",11.7
E06000017,Rutland,Local Authority,"37,369","41,049",9.8
E06000018,Nottingham,Local Authority,"305,680","323,632",5.9
E06000019,"Herefordshire, County of",Local Authority,"183,477","187,034",1.9
E06000020,Telford and Wrekin,Local Authority,"166,641","185,541",11.3
E06000021,Stoke-on-Trent,Local Authority,"249,008","258,369",3.8
E06000022,Bath and North East Somerset,Local Authority,"176,016","193,409",9.9
E06000023,"Bristol, City of",Local Authority,"428,234","472,465",10.3
E06000024,North Somerset,Local Authority,"202,566","216,728",7.0
E06000025,South Gloucestershire,Local Authority,"262,767","290,424",10.5
E06000026,Plymouth,Local Authority,"256,384","264,695",3.2
E06000027,Torbay,Local Authority,"130,959","139,324",6.4
E06000030,Swindon,Local Authority,"209,156","233,410",11.6
E06000031,Peterborough,Local Authority,"183,631","215,673",17.4
E06000032,Luton,Local Authority,"203,201","225,262",10.9
E06000033,Southend-on-Sea,Local Authority,"173,658","180,686",4.0
E06000034,Thurrock,Local Authority,"157,705","176,000",11.6
E06000035,Medway,Local Authority,"263,925","279,773",6.0
E06000036,Bracknell Forest,Local Authority,"113,205","124,607",10.1
E06000037,West Berkshire,Local Authority,"153,822","161,447",5.0
E06000038,Reading,Local Authority,"155,698","174,224",11.9
E06000039,Slough,Local Authority,"140,205","158,500",13.0
E06000040,Windsor and Maidenhead,Local Authority,"144,560","153,496",6.2
E06000041,Wokingham,Local Authority,"154,380","177,502",15.0
E06000042,Milton Keynes,Local Authority,"248,821","287,060",15.4
E06000043,Brighton and Hove,Local Authority,"273,369","277,103",1.4
E06000044,Portsmouth,Local Authority,"205,056","208,003",1.4
E06000045,Southampton,Local Authority,"236,882","248,922",5.1
E06000046,Isle of Wight,Local Authority,"138,265","140,459",1.6
E06000047,County Durham,Local Authority,"513,242","522,068",1.7
E06000049,Cheshire East,Local Authority,"370,127","398,772",7.7
E06000050,Cheshire West and Chester,Local Authority,"329,608","357,150",8.4
E06000051,Shropshire,Local Authority,"306,129","323,606",5.7
E06000052,Cornwall,Local Authority,"532,273","570,305",7.1
E06000053,Isles of Scilly,Local Authority,"2,203","2,054",-6.8
E06000054,Wiltshire,Local Authority,"470,981","510,330",8.4
E06000055,Bedford,Local Authority,"157,479","185,225",17.6
E06000056,Central Bedfordshire,Local Authority,"254,381","294,252",15.7
E06000057,Northumberland,Local Authority,"316,028","320,567",1.4
E06000058,"Bournemouth, Christchurch and Poole",Local Authority,"378,888","400,196",5.6
E06000059,Dorset,Local Authority,"365,153","379,579",4.0
E06000060,Buckinghamshire,Local Authority,"505,283","553,078",9.5
E06000061,North Northamptonshire,Local Authority,"316,851","359,522",13.5
E06000062,West Northamptonshire,Local Authority,"375,101","425,725",13.5
E07000008,Cambridge,Local Authority,"123,867","145,674",17.6
E07000009,East Cambridgeshire,Local Authority,"83,818","87,762",4.7
E07000010,Fenland,Local Authority,"95,262","102,462",7.6
E07000011,Huntingdonshire,Local Authority,"169,508","180,833",6.7
E07000012,South Cambridgeshire,Local Authority,"148,755","162,119",9.0
E07000026,Allerdale,Local Authority,"96,422","96,155",-0.3
E07000027,Barrow-in-Furness,Local Authority,"69,087","67,407",-2.4
E07000028,Carlisle,Local Authority,"107,524","110,024",2.3
E07000029,Copeland,Local Authority,"70,603","67,076",-5.0
E07000030,Eden,Local Authority,"52,564","54,735",4.1
E07000031,South Lakeland,Local Authority,"103,658","104,450",0.8
E07000032,Amber Valley,Local Authority,"122,309","126,206",3.2
E07000033,Bolsover,Local Authority,"75,866","80,273",5.8
E07000034,Chesterfield,Local Authority,"103,788","103,569",-0.2
E07000035,Derbyshire Dales,Local Authority,"71,116","71,540",0.6
E07000036,Erewash,Local Authority,"112,081","112,906",0.7
E07000037,High Peak,Local Authority,"90,892","90,932",0.0
E07000038,North East Derbyshire,Local Authority,"99,023","102,001",3.0
E07000039,South Derbyshire,Local Authority,"94,611","107,208",13.3
E07000040,East Devon,Local Authority,"132,457","150,828",13.9
E07000041,Exeter,Local Authority,"117,773","130,709",11.0
E07000042,Mid Devon,Local Authority,"77,750","82,852",6.6
E07000043,North Devon,Local Authority,"93,667","98,611",5.3
E07000044,South Hams,Local Authority,"83,140","88,627",6.6
E07000045,Teignbridge,Local Authority,"124,220","134,803",8.5
E07000046,Torridge,Local Authority,"63,839","68,114",6.7
E07000047,West Devon,Local Authority,"53,553","57,096",6.6
E07000061,Eastbourne,Local Authority,"99,412","101,689",2.3
E07000062,Hastings,Local Authority,"90,254","90,996",0.8
E07000063,Lewes,Local Authority,"97,502","99,905",2.5
E07000064,Rother,Local Authority,"90,588","93,110",2.8
